,Chapter,Subchapter,VideoID,Source,Due_date
50,7,7.5,fe21c0cd446c45d4816d1f2edf4019c9,https://www.youtube.com/watch?v=rgjB0VMVoCo,2018-11-20
51,7,7.6,7ad7b082ef9149f280e3d7b9be2aa348,https://www.youtube.com/watch?v=fFwj42eKijs,2018-11-22
52,7,7.7,cea9957b2f57401bbb75e15230dfaadc,https://www.youtube.com/watch?v=5823eBUE4p8,2018-11-22
53,8,8.1,d9cb32491a8f405da1845706c7b52c00,https://www.youtube.com/watch?v=5vC7Zz7OjPQ,2018-11-27
54,8,8.2,a87b57840c91406abd91eb7c145e79fc,https://www.youtube.com/watch?v=WzSngdQgNR4,2018-11-27
55,8,8.3,75126c6f182641ff9a095459a2785bb4,https://www.youtube.com/watch?v=7C6VjRVDwUY,2018-11-27
56,8,8.4,ad7f8769784c4d7da4171be768994b08,https://www.youtube.com/watch?v=fz_kz0q5VAQ,2018-11-27
57,8,8.5,084ebce83ea4429ba97c08e09bb22adf,https://www.youtube.com/watch?v=r3QjmGS_750,2018-11-27
58,8,8.6,e21d77f4f3a944f48ce1bd30b27f5f0f,https://www.youtube.com/watch?v=-vo1KRSXwwM,2018-11-29
59,8,8.7,8cf6c396f2114e0fa21a6309cf6626e1,https://www.youtube.com/watch?v=p6ZISobWJaE,2018-11-29
60,8,8.8,eea23d4f240749cab1f65b449e21df1e,https://www.youtube.com/watch?v=m-iIzkbQKy4,2018-11-29
61,8,8.9,f63f35d6e527434cac3c8c8872f88270,https://www.youtube.com/watch?v=yMu2zxVGD3o,2018-12-04
62,8,8.10,9c501a33941f4189ac21cfd4d629c174,https://www.youtube.com/watch?v=s-bWIOeMN6o,2018-12-04
63,8,8.11,73654904f8614d058f8b1671929c466d,https://www.youtube.com/watch?v=EYJqv36Uw1I,2018-12-04
64,9,9.1,53571be6c67747db8d654ed4f7107671,https://www.youtube.com/watch?v=3dw2EK_7Z2c,2018-12-06
65,9,9.2,639779353a1849199d151d3caaca5004,https://www.youtube.com/watch?v=EKBYuQRt2aM,2018-12-06
66,9,9.3,ef3b0a65e9ba42219d77484e3ebee3a5,https://www.youtube.com/watch?v=H-M4fw_azWQ,2018-12-06
67,9,9.4,69c0a7659b0e4e6cbbf15630ab84c771,https://www.youtube.com/watch?v=XP0Kv4S6pxc,2018-12-06
68,9,9.5,251c616b45df417f97072346ffeeecb8,https://www.youtube.com/watch?v=1_TRBbZgpRA,2018-12-11
69,9,9.6,b65d9dcb1a4241fe80f289f7ee37da32,https://www.youtube.com/watch?v=PpLlJPZER6o,2018-12-11
70,9,9.7,31917c7dcfc24176afbe761dfce79796,https://www.youtube.com/watch?v=D9_V_ZiDaSo,2018-12-11
71,9,9.7,97b12bced6d649a2bca7465b246a1b0f,https://www.youtube.com/watch?v=h8nu5K9Dl0Y,2018-12-11
72,9,9.8,f968886ba37f48e983945ded95f07c27,https://www.youtube.com/watch?v=3VNdwb0DT7o,2018-12-13
73,9,9.9,15b1364f3db04c898d8c7687e2e9b6f3,https://www.youtube.com/watch?v=0kRZNEUDosY,2018-12-13
74,9,9.10,bd22143ef4524edfb0dbab0fbb275ca7,https://www.youtube.com/watch?v=vaN6lbCInII,2018-12-13
75,9,9.11,5bc0ff2e9d6f4418927029a091383450,https://www.youtube.com/watch?v=MU52nlv0UbY,2018-12-13
76,9,9.12,5a9926d290ee41b79db5a8d233b2f561,https://www.youtube.com/watch?v=CxkCZ2Lcq40,2018-12-13
77,10,10.1,ad4b668b3098404da342c8931fe1b2ea,https://www.youtube.com/watch?v=RAqP1543eFA,2018-12-18
78,10,10.2,1b0f66ea185d4fa5a1d77f4fc5aec779,https://www.youtube.com/watch?v=TzcayIaxPvg,2018-12-18
79,10,10.3,17fd9f65c51d4298942167d3cc64ada0,https://www.youtube.com/watch?v=PwIwBMIZ-tc,2018-12-18
80,10,10.4,1d7ce2a765494139815dca79dbfd8f2c,https://www.youtube.com/watch?v=3eVP8ke9dGY,2018-12-18
81,10,10.5,5e2bb5cb3fba44f49282938b3d5f6a39,https://www.youtube.com/watch?v=HACR-Rmnkek,2018-12-18
82,10,10.6,4c31530dbe9c4385b53cfad8aaad2b75,https://www.youtube.com/watch?v=J9j58woFeqo,2018-12-18
