Chapter,Subchapter,VideoID,Source
5,5.9,084dddfa16cd4c0ba247598d4e6f20d0,https://www.youtube.com/watch?v=JVcCW3LttHI
5,5.10,7201a7b5bf5c451786a44481cba36cfd,https://www.youtube.com/watch?v=_AJwc9Es93o
5,5.11,4a3f41d9f86f4e7da9ebdc6e3a0173f7,https://www.youtube.com/watch?v=snLjL49zhhk
5,5.12,0d856ffca7d148ee9b485445b9e4fe8b,https://www.youtube.com/watch?v=TozItSo2f4k
5,5.13,2578fb61055d4ddbba9cc09ab8d5f260,https://www.youtube.com/watch?v=PMJSnKg8mR8
5,5.14,f8ab2cf2b30c4b7dae7bee5a4e09e73d,https://www.youtube.com/watch?v=yPNVHSmicQg
5,5.15,4d31551afe0e437e9efb0de334c8267c,https://www.youtube.com/watch?v=vDOwXxJU0O8
5,5.16,c265ad196fac40eaa935fcf86166713e,https://www.youtube.com/watch?v=GW5rFhWlvqQ
5,5.18,1d095e78a122433b988e9f865cb25a46,https://www.youtube.com/watch?v=8Ku7QnuoE-w
5,5.18,d1eb7d7b562446fe95c398eeb986dcb1,https://www.youtube.com/watch?v=MYRfQeP3s6g
6,6.1,259d603e97ec4575a079aecca6f66d03,https://www.youtube.com/watch?v=MlfiB6dwGgw
6,6.2,1062f12fca5341d6a62fa201efe1d2e8,https://www.youtube.com/watch?v=2tFXTRmEIQA
6,6.3,0ad048c708e944a1899ad2b552703b58,https://www.youtube.com/watch?v=_38WHYzUacs
6,6.4,6f7c4414324047a4b9d12a1d87d5875e,https://www.youtube.com/watch?v=W4zEQkyTj_I
6,6.5,3c58d781f84f414d858d5b5767941c01,https://www.youtube.com/watch?v=-hTy5ifZz3o
6,6.6,7c28728da2374525a12ff86ddebfc0c5,https://www.youtube.com/watch?v=LvhHbR1_NWA
6,6.7,227d5967cb02415ca694728f475146e0,https://www.youtube.com/watch?v=NBxoelezSjA
6,6.8,bc4d062db2b24982aad90c21b1fb7832,https://www.youtube.com/watch?v=hZAo9nZdVmQ
6,6.9,639f78ce0cfe465c82add847671602d5,https://www.youtube.com/watch?v=qrH64BLSDn4
6,6.9,3a1f08e22ec24c2bb78c87de1c259355,https://www.youtube.com/watch?v=CrVrcU6hu6M
6,6.10,a8f03261648f427590022f6a46290d28,https://www.youtube.com/watch?v=0XSfcfHh6yE
6,6.11,9e19df79238d4e4b84f1a5f3b3f7b8e1,https://www.youtube.com/watch?v=WKUHE3DrYYA
6,6.7.2,670da3b9f20b44a9b7abff12c1f7ff70,https://www.youtube.com/watch?v=4MuFCs2CcuE
6,6.7.2,3778f56593b44057a4ca536ea69a0ac5,https://www.youtube.com/watch?v=-v_tvropyhM
6,6.7.2,0e6cfafe08ee467694016f9f76771d5d,https://www.youtube.com/watch?v=4NhYqCKXmlY
6,6.7.2,9daa4410b533466cadef6c030827284c,https://www.youtube.com/watch?v=MbEpcn1A3WQ
6,6.14,517de835a0314a60a37caed1554f19f2,https://www.youtube.com/watch?v=3_yD_cEKoCk
7,7.1,251475509b4e4a25b6e24fceadfa298c,https://www.youtube.com/watch?v=f8-zqDA6k_c
7,7.2,b38e8967395f4dce85d2874821a6160c,https://www.youtube.com/watch?v=ERZeWg04abI
7,7.3,62e6340160494e8cbb17de853b93121d,https://www.youtube.com/watch?v=MrgVhy1cZmo
7,7.4,fddc884203ca453780300661f6886041,https://www.youtube.com/watch?v=haio0UhtjJA
7,7.5,fe21c0cd446c45d4816d1f2edf4019c9,https://www.youtube.com/watch?v=rgjB0VMVoCo
7,7.6,7ad7b082ef9149f280e3d7b9be2aa348,https://www.youtube.com/watch?v=fFwj42eKijs
7,7.7,cea9957b2f57401bbb75e15230dfaadc,https://www.youtube.com/watch?v=5823eBUE4p8
7,7.9,b17622f21ad84daaa865a4d67f4843a8,https://www.youtube.com/watch?v=g9C5vopSJ8s
7,7.9,5415ff6d11274302891efa0252d3483c,https://www.youtube.com/watch?v=p8npAkZSr64
8,8.1,d9cb32491a8f405da1845706c7b52c00,https://www.youtube.com/watch?v=5vC7Zz7OjPQ
8,8.2,a87b57840c91406abd91eb7c145e79fc,https://www.youtube.com/watch?v=WzSngdQgNR4
