,Chapter,Subchapter,VideoID,Source,Due_date
0,4,4.1,c2453e5d70824749b56d09adead14350,https://www.youtube.com/watch?v=ZGB7iM2DcQY,2017-10-19
1,4,4.3,152a6ef7e4274269afd67faf3bf817b5,https://www.youtube.com/watch?v=XpVKhNBI-fQ,2017-10-19
2,4,4.4,621633d8d2494d569bb71bc3bdc0055a,https://www.youtube.com/watch?v=_YGSGvplLJI,2017-10-19
3,4,4.5,ab8513d2338b496493ce0a57c6842d51,https://www.youtube.com/watch?v=TWteY5oQILo,2017-10-19
4,4,4.6,96c61097a16b4ff28b6973e557ab4aec,https://www.youtube.com/watch?v=GlwbNxWjkno,2017-10-19
5,6,6.9,d6b65f9ad9a549ef960d62f4f777ecb9,https://www.youtube.com/watch?v=qrH64BLSDn4,2017-11-07
6,6,6.9,651a90d74b5a47b5bc81c22c318c7bd5,https://www.youtube.com/watch?v=CrVrcU6hu6M,2017-11-07
7,6,6.9,639f78ce0cfe465c82add847671602d5,https://www.youtube.com/watch?v=qrH64BLSDn4,2017-11-07
8,6,6.9,3a1f08e22ec24c2bb78c87de1c259355,https://www.youtube.com/watch?v=CrVrcU6hu6M,2017-11-07
9,4,4.9,779d38bd34de493eb6b271d914f619ca,https://www.youtube.com/watch?v=incL5YUiimE,2017-10-19
10,5,5.1,df2aada0b8ad411e90099eb823bf8892,https://www.youtube.com/watch?v=Z17vejEQkjs,2017-10-24
11,5,5.2,5513f6dfd7314224853327ea7b4e2dfc,https://www.youtube.com/watch?v=S6o21mjdhzw,2017-10-24
12,5,5.2,c18ddf8290714ef5a4ee7daeaacf64ed,https://www.youtube.com/watch?v=PFUrAk3rmIs,2017-10-24
13,5,5.4,7918a4133a0143eb883dcf8fe1c90ed7,https://www.youtube.com/watch?v=Msk7s83QB3A,2017-10-24
14,5,5.5,a48d8f0bbac04689a88f8b06cf53154e,https://www.youtube.com/watch?v=raKfcgvtavU,2017-10-24
15,5,5.6,1d2feb37cec94268b7e50adb7f2eeeeb,https://www.youtube.com/watch?v=oSpqFosX-7U,2017-10-24
16,5,5.7,0c9364920eb04ec5bda17e8e4b62d545,https://www.youtube.com/watch?v=GCaJ1Gl_i78,2017-10-24
17,5,5.8,b3b3943d538b4282b1608fbe3a8619d8,https://www.youtube.com/watch?v=tLfef4hrJfY,2017-10-24
18,5,5.9,084dddfa16cd4c0ba247598d4e6f20d0,https://www.youtube.com/watch?v=JVcCW3LttHI,2017-10-24
19,5,5.10,7201a7b5bf5c451786a44481cba36cfd,https://www.youtube.com/watch?v=_AJwc9Es93o,2017-10-31
20,5,5.11,4a3f41d9f86f4e7da9ebdc6e3a0173f7,https://www.youtube.com/watch?v=snLjL49zhhk,2017-10-31
21,5,5.12,0d856ffca7d148ee9b485445b9e4fe8b,https://www.youtube.com/watch?v=TozItSo2f4k,2017-10-31
22,5,5.13,2578fb61055d4ddbba9cc09ab8d5f260,https://www.youtube.com/watch?v=PMJSnKg8mR8,2017-10-31
23,5,5.14,f8ab2cf2b30c4b7dae7bee5a4e09e73d,https://www.youtube.com/watch?v=yPNVHSmicQg,2017-10-31
24,5,5.15,4d31551afe0e437e9efb0de334c8267c,https://www.youtube.com/watch?v=vDOwXxJU0O8,2017-10-31
25,6,6.1,259d603e97ec4575a079aecca6f66d03,https://www.youtube.com/watch?v=MlfiB6dwGgw,2017-11-07
26,6,6.2,1062f12fca5341d6a62fa201efe1d2e8,https://www.youtube.com/watch?v=2tFXTRmEIQA,2017-11-07
27,6,6.3,0ad048c708e944a1899ad2b552703b58,https://www.youtube.com/watch?v=_38WHYzUacs,2017-11-07
28,6,6.4,6f7c4414324047a4b9d12a1d87d5875e,https://www.youtube.com/watch?v=W4zEQkyTj_I,2017-11-07
29,6,6.5,3c58d781f84f414d858d5b5767941c01,https://www.youtube.com/watch?v=-hTy5ifZz3o,2017-11-07
30,6,6.6,7c28728da2374525a12ff86ddebfc0c5,https://www.youtube.com/watch?v=LvhHbR1_NWA,2017-11-07
31,6,6.7,227d5967cb02415ca694728f475146e0,https://www.youtube.com/watch?v=NBxoelezSjA,2017-11-07
32,6,6.8,bc4d062db2b24982aad90c21b1fb7832,https://www.youtube.com/watch?v=hZAo9nZdVmQ,2017-11-07
33,7,7.1,251475509b4e4a25b6e24fceadfa298c,https://www.youtube.com/watch?v=f8-zqDA6k_c,2017-11-14
34,7,7.2,b38e8967395f4dce85d2874821a6160c,https://www.youtube.com/watch?v=ERZeWg04abI,2017-11-14
35,7,7.3,62e6340160494e8cbb17de853b93121d,https://www.youtube.com/watch?v=MrgVhy1cZmo,2017-11-14
36,7,7.4,fddc884203ca453780300661f6886041,https://www.youtube.com/watch?v=haio0UhtjJA,2017-11-14
37,7,7.5,fe21c0cd446c45d4816d1f2edf4019c9,https://www.youtube.com/watch?v=rgjB0VMVoCo,2017-11-14
38,7,7.6,7ad7b082ef9149f280e3d7b9be2aa348,https://www.youtube.com/watch?v=fFwj42eKijs,2017-11-14
39,7,7.7,cea9957b2f57401bbb75e15230dfaadc,https://www.youtube.com/watch?v=5823eBUE4p8,2017-11-14
