Chapter,Subchapter,ProblemID
1,1.1,ce23cc23797f4314989336131702d506
1,1.1,8d11171de01345bfbc125505b7742937
1,1.1,20960552e61542a9901d6943aec7ece7
1,1.2,2ae6c4de2fbd4d5c8267795a5d572b6e
1,1.2,d9c672bfdb9f49119282e9e2fde97c4c
1,1.3,9ca4ebb996964d26a0e990151ecc9139
1,1.3,be27313fcf20400387169425ad2225f3
1,1.4,f13662820fb84e119c3c41b5e7503454
1,1.4,1a02822239834722a3c86534e7b9a211
1,1.4,801cf55068094aee8a3516d1949d3cff
1,1.5,ff2a548bfd424d54903a384e17074eb1
1,1.5,fa6133c9b0d64d1f90acf34950bbb6b3
1,1.5,421aca547f4e4fd2a44900e3c4c409e6
1,1.5,f216aa90612c4ac79a6e16c8511d420b
1,1.6,cd50fbba3452427299dab90a953005cb
1,1.6,ef3acb348de8439488517ea58f07faa7
1,1.7,0fb04ee4b820422281cd272ba6eedd19
1,1.7,6b1eed0379e743da9533263c3f571fad
1,1.7,5fbbc1f956c14eefbd13fff06aea7a36
1,1.8,27f10d6c55e042fb820090d75ba76eef
1,1.9,01935d1e7c5641128466ce1daa2f5610
1,1.9,2e4fb01d506a4e94b71122312e348af3
1,1.9,81deb1950f52410baea2b4ed1263c4b1
1,1.9,6c6c7180b9c04c69b35c8acf5234e4b9
1,1.9,64143ed76f6c410badb83b2bbf2f417f
1,1.9,466c980484e240d08eb4e662657b9574
1,1.9,7a608a0fb96b4c32bd0b092272c36a20
1,1.9,cd6ef69afb5545c5bbe8a260551cbf78
1,1.9,2c427e075c944eeca2dcded5fb242c25
2,2.1,ad7188d2f4c143dcaf817efb83877eca
2,2.1,072efbc699074684a1415984459d1cf4
2,2.2,f9c16562e36e45a0801d270dcc25db69
2,2.2,0b25c59ad56945ed8167d6e3a5e09a80
2,2.3,04f4f70384dc47068d383e56f18cce54
2,2.4,184186f9a19c48de882c36d27c8b464b
2,2.4,ca64971b751847c798f5ff753e3eddfe
2,2.5,a5e216dc07a04c0eb41c2675d9cfedb3
2,2.5,85a73e865c6f41dbb1736ba722d94a2a
2,2.5,41ebf559b97b46d59fdab748a63a2da7
2,2.6,0ef7743afd5e477d9d767439b4562f7a
2,2.6,abb9b7ad7cea47efafe3994ecc8149ca
2,2.7,0d11546f163e4a89a15b3938e52b6cd1
2,2.7,436f6bbb9d1b4d6485763863a017b46b
2,2.8,02f6fdac83634a55a31c1c704f0f126a
2,2.8,156c7a9ac95047f59e1f524a2f3bd074
2,2.8,f676aeecd5574223958c45d191af64b7
2,2.8,49f053c85b144009a27adb7972b1677a
2,2.8,9e4d42f45e4c427b819089f749ebd705
2,2.8,d6bce2eb16904f62bdd112ed001a451b
2,2.8,5e60a741ece94e0382fde5c8a5d7e0a2
2,2.8,75c174ebd6de42e79a9ae67d00e2532d
2,2.8,dda575a2dbae4e3ab084e1aaf118ff74
2,2.8,ce96aed0194044eaa6998f6cce91ff6e
2,2.8,a2c68ca5d6ab4780b77e4e1a39cb9a29
2,2.8,43d0c760b7bb4fd9972c6f625ff07669
2,2.8,bcc7ffbbd1ac4ca5981dbfa2c2668345
2,2.8,fa64afa550f34ff6a47c1e00da93a737
2,2.8,8e496414a83848d99fcca59607d139ad
2,2.8,e40b38e2e4e54a399bbe49750beb5475
2,2.8,20a7f6d010294e8685b12044b97e93d0
2,2.8,5b00bdacda924d9aad24dad720ab5555
2,2.8,d580ba62c412415a91b45d3dd8f8650f
3,3.1,3979e8eb3da04c3485334629de74fc38
3,3.1,930f0d9883554212b40ea04ddf650ba3
3,3.1,4e1a618390f24155a51c871c197d566d
3,3.2,1c4cfff42be04d19ab0c8251666b4ce3
3,3.3,547c84a327364fd6962db05e72a956c0
3,3.3,b89f8e65d650463eb5181bc7efa9685b
3,3.4,1d3c0a16284c4ebea425284ac1243a2d
3,3.5,83e6d1348e0c4f5088a7a2061d02c5c3
3,3.5,ae0c7ebe03304873936ee059c1203d09
3,3.6,ba249115be94447ea5c09f0b1884578d
3,3.6,fa7099d067104fcd8d104fa8aebfa1c3
3,3.7,520db3c5cab84e548c7cd86996bf8f96
3,3.7,50e4e1e4876648e1afaf1ab00aabadaa
3,3.8,e27d65cb2e064fa78e881c0b0a8fec50
3,3.8,4d34ff6e5c88407fa66420228be1fcdd
3,3.9,64fafd8b91994a4787439e5c838b07ff
3,3.10,7c1cd99d32fb4e91aaf20308aeed437a
3,3.10,814ce0a46fa149eaa533a6d57feec231
3,3.10,490216722c574604bc30c27c5b4fb524
3,3.10,a4e8521e61694897894194429e40ab35
3,3.10,1a87deaafeed4730afcf159794eeb2ed
3,3.10,fa48df6c42c842f18d7c34ff2808760d
